anon_id,community,degree_centrality,weighted_strength,betweenness_centrality,closeness_centrality,clustering_coeff
P069,0,0.3721,8.4905,0.0181,0.7413,0.1688
P030,0,0.3372,7.98,0.0235,0.7619,0.173
P003,3,0.2674,4.9194,0.012,0.7327,0.1789
P029,0,0.2326,5.69,0.0068,0.6752,0.2312
P082,0,0.1395,2.3332,0.0118,0.7035,0.079
P005,0,0.1395,2.8129,0.0115,0.6768,0.1067
P039,0,0.2674,4.8401,0.0107,0.7143,0.1358
P025,3,0.2442,4.3479,0.02,0.739,0.1177
P034,3,0.2558,5.4668,0.0008,0.7074,0.2695
P019,3,0.3721,9.4906,0.0041,0.7513,0.2769
P040,0,0.314,6.1169,0.0101,0.7256,0.1486
P027,0,0.2674,4.7776,0.0066,0.6916,0.1533
P041,2,0.1279,2.1409,0.0047,0.6668,0.0979
P038,3,0.3721,7.9751,0.0134,0.753,0.2062
P068,0,0.2326,3.587,0.0175,0.7279,0.1014
P057,2,0.186,3.0579,0.0123,0.7145,0.1169
P044,3,0.1744,3.4161,0.0104,0.712,0.1327
P001,0,0.1512,2.2159,0.0044,0.6685,0.0922
P072,3,0.3488,9.4154,0.0047,0.7466,0.2965
P028,3,0.2442,5.1597,0.0038,0.685,0.2344
P060,3,0.2326,4.2195,0.0066,0.6965,0.2125
P064,3,0.3721,11.4942,0.0347,0.8071,0.2884
P018,0,0.186,3.3015,0.0082,0.7052,0.1254
P008,1,0.1163,1.9258,0.003,0.6645,0.0741
P052,0,0.1047,1.9942,0.0057,0.6602,0.1056
P022,0,0.186,2.944,0.0025,0.6779,0.1332
P079,0,0.1628,2.749,0.0159,0.7136,0.0639
P026,3,0.3605,8.2262,0.0159,0.7466,0.24
P087,3,0.3837,10.5025,0.0082,0.781,0.2713
P074,3,0.2674,6.0417,0.0216,0.7611,0.2047
P011,3,0.2907,6.0293,0.0057,0.7186,0.2257
P061,3,0.3721,10.0565,0.0077,0.7578,0.2861
P006,3,0.3721,8.338,0.0252,0.7818,0.2255
P053,0,0.1977,3.6192,0.0107,0.7171,0.1202
P002,3,0.2209,5.0162,0.0337,0.7578,0.1931
P077,0,0.2442,4.8114,0.0071,0.6764,0.1629
P043,0,0.1279,1.9021,0.0044,0.662,0.0855
P083,3,0.3256,7.501,0.0,0.6997,0.2917
P071,3,0.2791,5.6966,0.012,0.7376,0.2117
P081,0,0.1279,2.3605,0.0071,0.675,0.072
P021,0,0.1395,2.2742,0.0085,0.6978,0.0745
P075,0,0.2558,5.4786,0.0109,0.689,0.1737
P063,3,0.2558,5.6717,0.0156,0.7258,0.248
P033,3,0.3488,9.8338,0.0107,0.7616,0.2951
P051,0,0.1744,2.5995,0.0016,0.6424,0.1144
P024,0,0.186,3.1307,0.0079,0.7124,0.1084
P084,0,0.2093,3.5474,0.0254,0.7515,0.1148
P056,3,0.2791,5.5103,0.0041,0.6941,0.2522
P016,0,0.1628,3.2161,0.015,0.7194,0.0863
P058,0,0.1512,2.5218,0.0172,0.7204,0.0755
P046,3,0.3721,10.2778,0.014,0.7666,0.2859
P010,3,0.2791,5.1284,0.0156,0.7116,0.2091
P032,3,0.3488,8.6795,0.0082,0.7551,0.2659
P062,1,0.1047,1.5686,0.0047,0.6671,0.0657
P080,0,0.1512,2.725,0.0205,0.7074,0.1342
P017,3,0.2791,6.0264,0.014,0.7407,0.2417
P045,0,0.186,3.0368,0.0057,0.6905,0.1107
P049,0,0.2558,5.5868,0.0101,0.7162,0.1717
P047,0,0.3256,8.6827,0.0156,0.7362,0.2061
P085,3,0.2209,4.0367,0.0016,0.6927,0.1973
P070,0,0.2326,5.3176,0.0216,0.7224,0.1773
P004,3,0.3721,12.1478,0.0159,0.8059,0.318
P035,3,0.314,8.3554,0.0066,0.7392,0.3125
P031,3,0.314,8.2004,0.0011,0.6998,0.3087
P059,0,0.2209,3.9332,0.0093,0.6853,0.1349
P076,0,0.1512,2.6018,0.015,0.7092,0.0914
P055,0,0.1977,4.15,0.0115,0.695,0.1459
P050,0,0.2093,3.4833,0.0137,0.7194,0.1293
P007,3,0.3256,8.9606,0.0066,0.7421,0.3014
P086,3,0.3256,10.3724,0.0036,0.7698,0.3359
P012,0,0.2093,3.7193,0.0066,0.689,0.1257
P073,3,0.2907,7.5473,0.006,0.7292,0.2863
P042,0,0.2442,4.4614,0.0066,0.7036,0.1346
P023,3,0.3837,13.2644,0.0224,0.8076,0.3379
P020,0,0.186,4.1466,0.003,0.6696,0.1965
P036,0,0.2674,4.99,0.0068,0.6824,0.1487
P065,3,0.3837,11.9994,0.0123,0.7848,0.3101
P048,0,0.2674,5.4257,0.0049,0.6722,0.1847
P013,2,0.1512,2.4324,0.0123,0.7013,0.0757
P054,0,0.2674,4.9973,0.0074,0.6891,0.1514
P015,0,0.1628,2.6494,0.0123,0.7181,0.0568
P014,0,0.3488,9.5691,0.0304,0.7502,0.1986
P067,0,0.3488,7.1136,0.0107,0.7296,0.1559
P037,0,0.1744,3.4702,0.0164,0.7113,0.1215
P066,0,0.2791,5.8029,0.0041,0.6857,0.1812
P078,0,0.2093,4.2898,0.0008,0.6355,0.2106
P009,0,0.2674,4.9574,0.0041,0.6966,0.1384
